threshold_scale,active_threshold,window_size,min_votes,accuracy,precision,recall,f1
1.2,0.00025487896346021444,1,1,0.752825,0.8309011190367123,0.63485,0.719764179019869
1.2,0.00025487896346021444,3,1,0.5986,0.5644612970711297,0.8634,0.6826375711574952
1.2,0.00025487896346021444,3,2,0.617175,0.679702476803926,0.4432,0.5365455040707
1.2,0.00025487896346021444,3,3,0.535,0.8167420814479638,0.09025,0.1625393966681675
1.2,0.00025487896346021444,5,1,0.534725,0.5190739062371261,0.945,0.6700820761908138
1.2,0.00025487896346021444,5,2,0.5925,0.5732035454257677,0.7243,0.6399540554868351
1.2,0.00025487896346021444,5,3,0.58635,0.6496015246015246,0.37495,0.4754628455490743
1.2,0.00025487896346021444,5,4,0.53395,0.7365853658536585,0.1057,0.18487101005684303
1.2,0.00025487896346021444,5,5,0.5044,0.7875816993464052,0.01205,0.023736826553727962
1.2,0.00025487896346021444,7,1,0.513225,0.5068447066739125,0.9793,0.6679740122435756
1.2,0.00025487896346021444,7,2,0.550875,0.5311877394636015,0.8665,0.6586223277909738
1.2,0.00025487896346021444,7,3,0.582575,0.5760534192954179,0.62545,0.5997363058851732
1.2,0.00025487896346021444,7,4,0.5678,0.6320607713283989,0.3245,0.4288357341086296
1.2,0.00025487896346021444,7,5,0.5306,0.6957773512476008,0.10875,0.188099974055176
1.2,0.00025487896346021444,7,6,0.5056,0.7097378277153558,0.01895,0.0369143858965618
1.2,0.00025487896346021444,7,7,0.50085,0.8269230769230769,0.00215,0.0042888489926191905
